CUST_ID,DAT_CUST_OPEN,FLG_CUST_TYP,FLG_STAFF,NAM_CUST_FULL,NAM_CUSTADR_STATE,NAM_CUSTADR_CNTRY,DAT_BIRTH_CUST,FLG_MNT_STATUS,CUST_STATUS,AADHAAR_UPDATED_DAT
1051,2020-06-20,Y,Y,Scott Evans,JAPAN,IN,2019-07-15,U,8,2020-06-20
1013,2021-01-04,V,Y,Christian Johnson,KAR,IN,2012-06-29,U,8,2021-01-04
1020,2020-05-12,20 ,N,Phillip Hernandez,PUN,US,2020-10-18,A,8,2020-05-12
1019,2020-04-21,5,Y,Matthew Hunt,AP,IN,2006-10-10,U,8,2020-04-21
1100,2020-03-11,1,N,Donald Johnson,OR,IN,2003-06-03,A,8,2020-03-11
1092,2020-10-10,20 ,N,Daniel Waters,MAH,US,2002-04-25,U,8,2020-10-10
1044,2020-02-20,H,Y,Kyle Weiss,KERALA,US,2003-08-29,U,8,2020-02-20
1082,2020-07-11,H,N,Anthony Jones,UP,IN,2012-12-26,U,8,2020-07-11
1081,2020-12-22,1,Y,John Campbell,WB,US,2007-03-15,U,8,2020-12-22
1084,2020-09-21,C,Y,Michael Gibbs,HARYANA,US,2006-02-27,U,8,2020-09-21
1007,2020-03-25,Y,Y,Christian Allen,BIHAR,JAPAN,2004-09-29,A,8,2020-03-25
1085,2020-11-05,20 ,N,Daniel Cole,RAJ,IN,2017-11-17,U,8,2020-11-05
1148,2020-10-18,11 ,Y,Brian Velez,JAPAN,AU,2008-02-25,A,8,2020-10-18
1125,2020-07-08,5,N,Steven Melton,OR,IN,2015-06-05,U,8,2020-07-08
1115,2020-03-11,3,N,Noah Graham,HARYANA,AU,2006-12-05,U,8,2020-03-11
1049,2020-03-31,Z,N,Michael Porter,WB,AU,2019-06-22,U,8,2020-03-31
1105,2020-10-15,G,N,Carlos Fisher,RAJ,US,2020-03-24,U,8,2020-10-15
1066,2020-02-17,20 ,N,Christopher Sanders,KERALA,AU,2014-11-24,U,8,2020-02-17
1040,2020-08-17,9,Y,Michael Lopez,GOA,US,2018-01-12,U,8,2020-08-17
1058,2020-06-16,O,N,Brian Gonzalez,WB,AU,2013-01-16,U,8,2020-06-16
1048,2020-11-19,H,Y,Dr. Rodney Cochran,DELHI,JAPAN,2006-03-27,U,8,2020-11-19
1094,2020-11-16,11 ,N,Clayton Dougherty,KAR,US,2013-08-09,A,8,2020-11-16
1089,2020-01-20,20 ,N,Joshua Mcgrath,DELHI,JAPAN,2014-11-03,A,8,2020-01-20
1088,2020-12-03,20 ,Y,Timothy Shelton,MP,AU,2018-11-15,U,8,2020-12-03
1002,2020-08-03,E,Y,Michael Lee,BIHAR,IN,2014-08-04,A,8,2020-08-03
1146,2020-02-29,F,Y,Thomas Williams,PUN,IN,2016-10-22,U,8,2020-02-29
1120,2020-07-10,I,Y,Scott Jones,WB,JAPAN,2021-06-15,A,8,2020-07-10
1008,2020-09-23,P,Y,Daniel Taylor,UP,US,2000-12-30,U,8,2020-09-23
1005,2020-11-17,6,N,Eric Scott,BIHAR,AU,2011-08-20,U,8,2020-11-17
1068,2020-11-18,5,Y,Mark Park PhD,OR,IN,2008-01-15,U,8,2020-11-18
1114,2020-06-28,Y,N,Mr. Jacob Williams,BIHAR,JAPAN,2013-04-02,U,8,2020-06-28
1079,2020-02-29,2,N,Joseph Jacobs,HP,IN,2021-01-09,A,8,2020-02-29
1033,2020-12-11,H,N,Brandon Salinas,PUN,AU,2011-01-22,A,8,2020-12-11
1043,2020-03-19,4,Y,Troy Hickman,PUN,US,2020-04-18,U,8,2020-03-19
1095,2020-03-07,I,N,Mark Taylor,MP,US,2004-11-08,A,8,2020-03-07
1055,2020-10-03,E,Y,Lawrence Sharp,PUN,JAPAN,2007-04-15,U,8,2020-10-03
1025,2020-11-15,G,N,Nicholas Aguilar,HARYANA,IN,2020-04-26,A,8,2020-11-15
1046,2020-12-11,1,N,Patrick Robinson,KERALA,AU,2017-03-22,A,8,2020-12-11
1106,2020-03-29,Z,N,Richard Blankenship,JAPAN,AU,2007-09-27,U,8,2020-03-29
1059,2020-06-24,F,N,Erik Matthews,MP,US,2002-10-05,A,8,2020-06-24
1032,2020-03-18,P,N,Mark Hunter,HP,JAPAN,2017-03-29,A,8,2020-03-18
1117,2020-11-30,20 ,N,Michael Thompson,WB,IN,2020-04-27,U,8,2020-11-30
1142,2020-06-11,4,N,James Haas,HARYANA,US,2007-03-23,A,8,2020-06-11
1039,2020-06-07,Y,Y,Andrew Martinez,DELHI,AU,2002-04-22,A,8,2020-06-07
1096,2020-09-21,F,Y,Kevin Garrison,JAPAN,JAPAN,2005-08-28,U,8,2020-09-21
1121,2020-12-23,P,N,Matthew Powell,HARYANA,IN,2018-04-14,U,8,2020-12-23
